Key,English,Filipino
PROPQUEST_DUNGEONANDPK_INC_000001,P.K,P.K
PROPQUEST_DUNGEONANDPK_INC_000002,Hunting Monsters to recover Karma,Mangaso ng Halimaw para makarecover ng Karma
PROPQUEST_DUNGEONANDPK_INC_000003,Your Karma can be redeemed. Are you ready to pay for your sins?,Ang iyong karma ay pwedeng maligtas. Handa kanaba bayaran ang iyong mga kasalanan?
PROPQUEST_DUNGEONANDPK_INC_000004,Hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.,Manghuli ng $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.
PROPQUEST_DUNGEONANDPK_INC_000005,You have yet to pay for your sins…,Di mo pa bayad ang iyong mga kasalanan…
PROPQUEST_DUNGEONANDPK_INC_000006,Your quest has been accomplished. Your sins have been forgiven.,Ang iyong quest ay natapos na. Ang iyong mga kasalanan ay napatawad na.
PROPQUEST_DUNGEONANDPK_INC_000007,"If you are truly unwilling to fight for forgiveness, then there is no hope for you.","Kung ikaw ay ayaw mo lumaban para sa kapatawaran, wala nang pag asa para sa iyo."
PROPQUEST_DUNGEONANDPK_INC_000019,Hunting $QUEST_END_KILL_NAME$ will recover your Karma points.,Ang Pang-huhuli ng $QUEST_END_KILL_NAME$ ay makakapagpanumbalik ng iyong Karma points.
PROPQUEST_DUNGEONANDPK_INC_000376,Get the Key to escape Kebaras Island,Kunin ang susi para makatakas sa Kebaras Island
PROPQUEST_DUNGEONANDPK_INC_000377,You can warp away from here at the Warp Zone but you need the Key. Are you ready to earn it?,Makakawarp ka paalis dito sa Warp Zone ngunit kailangan mo ng susi. Handa kaba pagtrabahuhan ito?
PROPQUEST_DUNGEONANDPK_INC_000378,I will give you the Key if you can bring me $QUEST_END_ITEM_COUNT$ Beads of Sin. You can get the beads in the empty lot beside the campsite.,Handa kitang bigyan ng susi basta dalahan mo ako ng $QUEST_END_ITEM_COUNT$ Beads of Sin. Makakakuha ka ng beads sa isang bakanteng lote tabi ng campsite.
PROPQUEST_DUNGEONANDPK_INC_000379,How long until you are ready to leave this place?,Gano pa katagal bago ikaw ay maging handa para umalis sa lugar na ito?
PROPQUEST_DUNGEONANDPK_INC_000380,Here is the Key. Now go and never return.,Eto ang susi. Ngayon umalis kana at wag kana bumalik.
PROPQUEST_DUNGEONANDPK_INC_000381,I will give you your freedom for only $QUEST_END_ITEM_COUNT$ beads. How could you pass on an offer like that?,Bibigyan kita ng kalayaan para sa $QUEST_END_ITEM_COUNT$ beads. Pano mo hindi tatanggapin ang usapan na yan?
PROPQUEST_DUNGEONANDPK_INC_000382,Keep gathering your beads.,Ituloy ang pag iipon ng iyong bulitas.
PROPQUEST_DUNGEONANDPK_INC_000390,You are welcome to stay for as long as you would like.,Pwede ka manatili kahit gano pa katagal ang gusto mo.
PROPQUEST_DUNGEONANDPK_INC_000420,Entering the Dekane Mine,Pumapasok ng Dekane Mine
PROPQUEST_DUNGEONANDPK_INC_000421,You are really willing to enter the Dekane Mine?,Handa kaba pumasok ng Dekane Mine?
PROPQUEST_DUNGEONANDPK_INC_000422,"Then visit the Dwarpet, Rankashu, in front of the Dekane Mine.","Tapos bisitahin ang Dwarpet, Rankashu, sa harap ng Dekane Mine."
PROPQUEST_DUNGEONANDPK_INC_000423,Ha ha ha. Of course not. It is far too frightening.,Ha ha ha. Siyempre naman hindi. Masyado itong nakakatakot.
PROPQUEST_DUNGEONANDPK_INC_000424,Here is the Mine Entrance Card. It is up to you to enter but I advise against it. You may die.,Eto ang Mine Entrance Card. Nasasaiyo na ang desisyon kung papasok ka pero kontra ako dito. Pwede kang mamatay.
PROPQUEST_DUNGEONANDPK_INC_000425,Is it so hard to tell me what I want to know? Leave quickly.,Masyado ba mahirap sabihin sakin ang gusto ko malaman? Lumayas ka.
PROPQUEST_DUNGEONANDPK_INC_000426,Visit the Dwarpet Rankashu and get the information Cell wanted.,Bisitahin ang Dwarpet Rankashu at kunin ang information Cell na kailangan.
PROPQUEST_DUNGEONANDPK_INC_000429,You have the Mine Entrance Card. Now to find out what everyone is so afraid of.,Mayroon kang Mine Entrace Card. Ngayon hanapin mo kung ano ang rason bat natatakot ang lahat.
PROPQUEST_DUNGEONANDPK_INC_000431,Keakoon in Mine (1),Keakoon in Mine (1)
PROPQUEST_DUNGEONANDPK_INC_000432,"I am Drian son of Nevil, great chief of the original Keakoon. We were once friendly with the humans.","Ako si Drian anak ni Nevil, kapitan ng orihinal na Keakoon. Kami ay palakaibigan dati sa mga tao."
PROPQUEST_DUNGEONANDPK_INC_000433,We helped humans develop the mine long ago but when they left some of us were locked up by a new breed of Keakoons.,"Tinulungan namin ang mga tao na itayo ang minahan noong unang panahon, ngunit noong sila ay lumisan, kami ay kinulong ng bagong lahi ng Keakoons."
PROPQUEST_DUNGEONANDPK_INC_000434,My father is old and cannot last much longer in his prison. Please help me rescue him.,Ang tatay ko ay matanda na at di na magtatagal sa kanyang kulungan. Tulungan mo ako iligtas siya.
PROPQUEST_DUNGEONANDPK_INC_000435,"The key to the cell where my father is being kept has three pieces. These false Keakoons are inside, keeping them hidden. Go and bring them to me.","Ang susi sa kulungan kung saan nakakulong ang tatay ko ay mayroong tatlong piraso. Ang mga pekeng Keakoons ay nasa loob, tinatago ito. Dalihin mo ito sa akin."
PROPQUEST_DUNGEONANDPK_INC_000436,How could you? To think I thought to count you as a friend.,How could you? To think I thought to count you as a friend.
PROPQUEST_DUNGEONANDPK_INC_000437,Oh… Thank you… so much. I could never repay you fully. Thank you so much.,Oh… Thank you… so much. I could never repay you fully. Thank you so much.
PROPQUEST_DUNGEONANDPK_INC_000438,You have to gather all three pieces of the Key.,Kailangan mo kunin ang lahat ng tatlong piraso ng susi.
PROPQUEST_DUNGEONANDPK_INC_000439,Hunt Keakoon and get all 3 pieces of the prison key.,Pumatay ng Keakoon at kunin ang tatlong piraso ng susi ng kulungan.
PROPQUEST_DUNGEONANDPK_INC_000442,You have delivered all the pieces of the key but it looks like he still has something to say.,"Naibigay mo lahat ng tatlong piraso ng susi, ngunit mukhang may sasabihin pa siya."
PROPQUEST_DUNGEONANDPK_INC_000444,Keakoon in Mine (2),Keakoon in Mine (2)
PROPQUEST_DUNGEONANDPK_INC_000445,I still have a need for you. Would you help me yet again?,Kailangan pa kita. Pwede mo ba ako matulungan ulit?
PROPQUEST_DUNGEONANDPK_INC_000446,You are a true friend. Take this key and free my father. I am not strong enough. Please.,Ikaw ay isang tunay na kaibigan. Kunin mo ang susi na ito at palayain mo ang aking tatay. Mahina lang ako. Pakiusap.
PROPQUEST_DUNGEONANDPK_INC_000447,You show yourself to be no better than the fiends that imprisoned my father.,Pinapakita mo ang sarili mo na mas malala ka pa sa mga halimaw na nagkulong sa aking tatay.
PROPQUEST_DUNGEONANDPK_INC_000449,My father is in a prison on the outskirts of Keakoon village. Please hurry he cannot last much longer.,Ang tatay ko ay nakakulong sa labas ng Keakoon village. Pakiusap bilisan mo di na siya magtatagal.
PROPQUEST_DUNGEONANDPK_INC_000450,"Rescue Nevil, father of Drian.","Iligtas si Nevil, tatay ni Drian."
PROPQUEST_DUNGEONANDPK_INC_000453,You have saved Nevil. Go and talk to him.,Nailigtas mo si Nevil. Kausapin mo siya.
PROPQUEST_DUNGEONANDPK_INC_000455,Keakoon in Mine (3),Keakoon in Mine (3)
PROPQUEST_DUNGEONANDPK_INC_000456,"Many thanks, friend. You have done so much for us but would you do something more?","Maraming salamat, kaibigan. Marami kang nagawa para sa amin, ngunit pwede ba na may magawa kapa?"
PROPQUEST_DUNGEONANDPK_INC_000457,Please defeat the Elite Keakoon Guard Leader and bring me the Chief Sign that proves I am the one true Chief of the Keakoon. Would you also please bring me the cargo my son Drian is keeping safe for me?,Pakiusap talunin mo ang Elite Keakoon Guard Leader at dalihin mo ang Chief Sign na nagpapatunay na ako ang tunay na Kapitan ng mga Keakoon. At pwede rin ba madala mo sa akin ang bagay na tinatago ng aking anak na si Drian para sa akin?
PROPQUEST_DUNGEONANDPK_INC_000458,What kind of person are you if you refuse to help those with less power than you?,Anong klaseng tao ka na ayaw tumulong sa mga mas mahina sa iyo?
PROPQUEST_DUNGEONANDPK_INC_000459,Thank you. It is my great hope that Keakoon and human can thrive together once again. Take this ring as a gift.,Salamat. Ito ay isang pag asa na ang Keakoon at sangkatauhan ay mamumuhay ng matiwasay ulit. Kunin mo ang singsing na ito bilang regalo.
PROPQUEST_DUNGEONANDPK_INC_000460,"If, by any chance, you want more adventure visit Bernard in Darken. Be careful. I would hate for something to happen to you.","Kung, sakali man, gusto mo ng paglalakbay bisitahin mo si Bernard sa Darken. Mag-iingat ka. Ayaw ko may mangyari sa iyo."
PROPQUEST_DUNGEONANDPK_INC_000461,Hrmm… It might not be that dangerous for someone as strong as you.,Hrmm... Di naman siguro ito ganito kadelikado para sa taong kasinglakas mo.
PROPQUEST_DUNGEONANDPK_INC_000462,Bring the seal of the chief and the package that Drian is holding back to Nevil.,Dalhin ang seal of the chief at ang packagee na tinatago ni Drian kay Nevil.
PROPQUEST_DUNGEONANDPK_INC_000465,"You rescued Nevil, chief of the Keakoon. You can feel the secrets around this place. Maybe you can get some information from Bernard.","Niligtas mo si Nevil, kapitan ng Keakoon. Nararamdaman mo ang mga lihim sa lugar na ito. Baka makakuha ka ng impormasyon kay Bernard."
PROPQUEST_DUNGEONANDPK_INC_000467,Death Mine and Roaches (1),Death Mine and Roaches (1)
PROPQUEST_DUNGEONANDPK_INC_000468,Hmm… Is that the ring of Nevil around your finger?,Hmm... Yan ba ang singsing ni Nevil sa iyong daliri?
PROPQUEST_DUNGEONANDPK_INC_000469,Your strength has been proven then. Would you prove yourself further? The Roach is somehow connected to the death of people in the mine.,Napatunayan mo na malakas ka. Kaya mo ba patunayan pa lalo ang sarili mo? Ang Roach ay konektado sa pagkamatay ng mga tao sa minahan.
PROPQUEST_DUNGEONANDPK_INC_000470,There is a mystery to be unlocked here. Would you bring me the blood of the Roach larva?,Mayroong kababalaghan na makikita dito. Pwede ba dalihin mo sakin ang dugo ng Roach larva?
PROPQUEST_DUNGEONANDPK_INC_000471,Thank you. There are two kinds of Roach - Pink and Blue. Break open their eggs and hunt down the larva.,Thank you. There are two kinds of Roach - Pink and Blue. Break open their eggs and hunt down the larva.
PROPQUEST_DUNGEONANDPK_INC_000472,There will be no revelation without danger.,Walang mailalabas kung walang panganib.
PROPQUEST_DUNGEONANDPK_INC_000473,"Ahh, there is much to be learned from the blood of these Roaches.","Ahh, mayroong maraming pwede matutunan sa dugo ng mga ipis na ito."
PROPQUEST_DUNGEONANDPK_INC_000474,No! No! No! Bring me more information!,Wag! Wag! Wag! Bigyan mo pa ako ng mas maraming impormasyon!
PROPQUEST_DUNGEONANDPK_INC_000475,Bring the blood of Roaches by destroying their eggs and defeating Roach Larva.,Bring the blood of Roaches by destroying their eggs and defeating Roach Larva.
PROPQUEST_DUNGEONANDPK_INC_000478,Looks like he still has a need of you.,Mukhang mayroon pa siyang pangangailangan sa iyo.
PROPQUEST_DUNGEONANDPK_INC_000480,Death Mine and Roaches (2),Death Mine and Roaches (2)
PROPQUEST_DUNGEONANDPK_INC_000481,The toxicity of Roaches has poisoned many humans in the mine.,Ang lason sa mga ipis ang naglason ng maraming tao sa minahan na ito.
PROPQUEST_DUNGEONANDPK_INC_000482,It seems that the Roach Queens are the source of the poison.,Mukhang ang Reyna ng mga ipis ang pinagmumulan ng lason.
PROPQUEST_DUNGEONANDPK_INC_000483,Bring me the blood of Pink and Blue Roach Queens so that I can make a vaccine.,Bring me the blood of Pink and Blue Roach Queens so that I can make a vaccine.
PROPQUEST_DUNGEONANDPK_INC_000484,Sprinkle this liquid on the Roach Queen egg to wake her up. Be careful.,Ikalat ang liquid na ito sa itlog ng Reyna ng mga ipis para gisingin siya. Mag iingat ka.
PROPQUEST_DUNGEONANDPK_INC_000485,You really will not see this through to the end?,Ayaw mo makita ito hanggang sa pagtatapos?
PROPQUEST_DUNGEONANDPK_INC_000486,This vaccine will save many lives. Thank you.,Ang bakuna na ito ay magliligtas ng maraming buhay. Salamat.
PROPQUEST_DUNGEONANDPK_INC_000487,Take this weapon as a token of gratitude and this card to venture deeper into the mine.,Take this weapon as a token of gratitude and this card to venture deeper into the mine.
PROPQUEST_DUNGEONANDPK_INC_000488,The Roaches appeared very suddenly in the mine. Maybe you can find out the reason by going deeper into the mine.,Ang Roaches ay biglaang nagpakita sa minahan. Baka makita mo ang rason bakit sa kailaliman nito.
PROPQUEST_DUNGEONANDPK_INC_000489,I am sure that you can handle the upcoming danger.,Sigurado ako na kaya mo ang nagbabadyang panganib.
PROPQUEST_DUNGEONANDPK_INC_000490,Gather the blood of Pinky and Blue Roach Queen.,Kunin ang dugo ng Pinky at Blue Roach Queen.
PROPQUEST_DUNGEONANDPK_INC_000493,Something about the way Bernard talks suggessts that the Roaches were placed in the mines intentionally. Maybe you can find out.,Mayroong rason sa pangungusap ni Bernard na nagsasabing ang mga Roaches ay inilagay sa minahan ng pasadya. Baka mahanap mo ito.
PROPQUEST_DUNGEONANDPK_INC_000495,Dwarpet Kazen,Dwarpet Kazen
PROPQUEST_DUNGEONANDPK_INC_000496,What brings you here? I am sure you know of the many deaths surrounding this place.,Ano ang kailangan mo dito? Sigurado ako alam mo na maraming namatay sa lugar na ito.
PROPQUEST_DUNGEONANDPK_INC_000497,You will not be able to find out what happened here without my help. I will tell you what you want to know if you do me a favor. What do you think?,Di mo makikita kung ano nangyari dito kung di kita tutulungan. Sasabihin ko sayo kung ano gusto mo malaman if gagawan mo ako ng pabor. Ano sa tingin mo?
PROPQUEST_DUNGEONANDPK_INC_000498,Bring me 30 Cillin and I will tell you everything you need to know.,Bigyan mo ako ng 30 Cillin at sasabihin ko sayo lahat ng gusto mo malaman.
PROPQUEST_DUNGEONANDPK_INC_000499,"Pssh, some great hero, you cannot even bring me some simple stones.","Pssh, isang magaling na bayani, pero di mo mabigay sakin ang simpleng bato."
PROPQUEST_DUNGEONANDPK_INC_000500,Hmm… I did not think you would be back so soon. Take this money as a gift.,Hmm… I did not think you would be back so soon. Take this money as a gift.
PROPQUEST_DUNGEONANDPK_INC_000501,I said 30. Not 29 or 28. Bring me 30 Cillin.,Sabi ko 30. Hindi 29 o 28. Bigyan mo ako ng 30 Cillin.
PROPQUEST_DUNGEONANDPK_INC_000502,Gather 30 Cillin.,Mangolekta ng 30 Cillin.
PROPQUEST_DUNGEONANDPK_INC_000507,Bring Ribenuum,Bring Ribenuum
PROPQUEST_DUNGEONANDPK_INC_000508,I am here in Dekane mining for Ribenuum. In all of Madrigal Ribenuum can only be found in the Darkon area.,Andito ako sa Dekane para magmina ng Ribenuum. Sa lahat ng Madrigal ang Ribenuum ay mahahanap lamang sa Darkon.
PROPQUEST_DUNGEONANDPK_INC_000509,Ribenuum is made when a Green Trillipy eats a stone and metabolizes it.,Ang Ribenuum ay nagagawa pag ang isang Green Trillipy ay lumunok ng isang bato at pinababa ito.
PROPQUEST_DUNGEONANDPK_INC_000510,Would you bring me some Ribenuum? A Green Tillipy is dangerous but you look equally as dangerous.,Pwede mo ba ako dalahan ng Ribenuum? Ang isang Green Trillipy ay mapanganib ngunit ikaw ay kasing panganib neto.
PROPQUEST_DUNGEONANDPK_INC_000511,Green Trillipy are down the hall to the right. The room to the left is blocked.,Green Trillipy are down the hall to the right. The room to the left is blocked.
PROPQUEST_DUNGEONANDPK_INC_000512,"Are you kidding me? Go on and get out of here, I may not look it but I am an old Dwarpet and I do not have time for games.","Niloloko mo ba ako? Lumayas ka dito, di mo lang namumukhaan, pero ako ay isang matandang Dwarpet at wala akong oras makipaglaro."
PROPQUEST_DUNGEONANDPK_INC_000513,Ahhh...you brought the Ribenuum. But what is this? It is flawed!,Ahhh...nagdala ka ng Ribenuum. Pero ano to? Me sira!
PROPQUEST_DUNGEONANDPK_INC_000514,How hard is it to bring me what I asked for? 30 pieces of Ribenuum?,Gano kahirap ba na dalihin mo ang sinasabi ko? 30 piraso ng Ribenuum?
PROPQUEST_DUNGEONANDPK_INC_000515,Gather 30 pieces of Ribenuum from Green Trillipy,Gather 30 pieces of Ribenuum from Green Trillipy
PROPQUEST_DUNGEONANDPK_INC_000520,Refine Ribenuum,Refine Ribenuum
PROPQUEST_DUNGEONANDPK_INC_000521,The Ribenuum you brought is impure. I could take it home and refine it myself but the other Dwarpets would laugh me back to Flarine.,Ang Ribenuum na dinala mo ay di puro. Pwede ko ito iuwi at irefine ito ng ako lang ngunit ang ibang Dwarpets ay pagtatawanan ako pauwi ng Flarine.
PROPQUEST_DUNGEONANDPK_INC_000522,"It will have to be refined in a human village then. There is only one human I trust to do it it right. There is man named Nein, he was one of the last humans to work in these mines. Maybe the very last human.","Kailangan ito mairefine sa isang bayan ng mga tao. Mayroon lamang isang tao Nagtitiwala ako sayo na gagawin mo ito ng tama. Mayroong tao na nagngangalang Nein, siya ang isa sa huling tao na nagtrabaho sa minahan na ito. Baka pinakahuling tao."
PROPQUEST_DUNGEONANDPK_INC_000523,"Bring these Ribenuum to Nein and have him refine them. Then bring them back to me, would you?","Dalihin mo itong Ribenuum kay Nein at siya ang magrerefine nito. Tapos dalihin mo ito pabalik sakin , pakiusap?"
PROPQUEST_DUNGEONANDPK_INC_000524,I heard that Nein lives somewhere in the Dead Walderness. He will refine the 30 pieces of impure Ribenuum into 10 pieces of high quality Ribenuum.,Nadinig ko nakatira si Nein sa Dead Walderness. Irerefine niya ang 30 pirasong impure Ribenuum at gagawin itong 10 piraso ng high quality Ribenuum.
PROPQUEST_DUNGEONANDPK_INC_000525,Are you kidding me? Get lost! I do not have patience for games!,Niloloko mo ba ako? Lumayas ka! Wala akong pasensya para makipaglaro!
PROPQUEST_DUNGEONANDPK_INC_000526,"Oh… Thank you, thank you, thank you! Take this necklace and some money with you.","Oh… Thank you, thank you, thank you! Take this necklace and some money with you."
PROPQUEST_DUNGEONANDPK_INC_000527,Hmmm... maybe I was asking too much of you. You can just go home.,Hmmm... maybe I was asking too much of you. You can just go home.
PROPQUEST_DUNGEONANDPK_INC_000528,Gather 10 pieces of high quality Ribenuum,Kumuha ng 10 pirasong high quality Ribenuum
PROPQUEST_DUNGEONANDPK_INC_000533,Bring Triduum,Magdala ng Triduum
PROPQUEST_DUNGEONANDPK_INC_000534,"Ribenuum is useless to most humans. Maybe you have a Dwarpet friend you can give it to? Here, let me see it. These samples are too impure and even I cannot refine them without the right materials.","Ang Ribenuum ay walang kwenta sa karamihan ng tao. Baka mayroon kang kaibigang dwarpet na pagbibigyan neto? Dito, tingnan ko nga yan. Ang mga ito ay masyadong marumi na kahit ako Ay di kayang linisin ito ng walang tamang kagamitan."
