Key,English,Portuguese
EXCHANGE_ROSHAMBO_EVENT,"Exchange 10 mosquitoes and 50,000 Penya for a Rock-Paper-Scissors coupon.","Troque 10 mosquitos e 50,000 penyas por um cupom de Pedra-Papel-Tesoura."
EXCHANGE_CHRISTMAS_EVENT,"Exchange 10 red socks and 50,000 Penya for a Rock-Paper-Scissors coupon.","Troque 10 meias vermelhas e 50,000 penyas por um cupom de Pedra-Papel-Tesoura."
EXCHANGE_PIECE,"If you bring me 10 pieces of any item, I will exchange them for a whole one! Just click the item you want to exchange and press Ok!","Se você me trouxer 10 pedaços de qualquer item, vou trocá-los por um completo! Basta clicar no item que deseja trocar e pressionar Ok! "
EXCHANGE_DICE,I can exchange your dice with Penya. Just click the item you want to exchange and press Ok!,Posso trocar seus dados com Penya. Basta clicar no item que deseja trocar e pressionar Ok!
EXCHANGE_REDCHIPS,"The armor sets I sell here in my shop are absolutely the best you can find! So, how many Red Chips do you have, hmmm?","As armaduras que vendo aqui na minha loja são absolutamente os melhores que você pode encontrar! Então, quantos Chips Vermelhos você tem, hmmm?"
EXCHANGE_SUMMER_EVENT,"Exchange Beach Ball, Parasol and Penya for great Beach Boxes!","Troque Bola de Praia, Guarda-sol e Penya por ótimas Caixas de Praia!"
EXCHANGE_GREENCHIPS,"The items I sell here in my shop will certainly be helpful! So, how many Green Chips do you have, hmmm?","Os itens que vendo aqui na minha loja certamente serão úteis! Então, quantos Chips Verdes você tem, hein?"
EXCHANGE_BLUECHIPS,"The items I sell here in my shop are absolutely the best you can find! So, how many Blue Chips do you have, hmmm?","Os itens que vendo aqui na minha loja são absolutamente os melhores que você pode encontrar! Então, quantos Chips Azuis você tem, hein?"
EXCHANGE_CHRISTMAS_GIFTS,Bring me back my lost gifts and I’ll think about getting you something in return..,Traga-me de volta meus presentes perdidos e pensarei em conseguir algo para você em troca...
EXCHANGE_RICE_CAKE,I noticed you had a lot of rice cake. You want me to cook them to make them better?,Percebi que você já comeu muitos bolinhos de arroz. Gostaria que eu cozinhasse para torná-los mais saborosos?
EXCHANGE_VALENTINE,"A lot of people have come to me and said they've lost their love letters.. Can you find them and bring them back to me? I’ll give you some great rewards in return.\n\n#cffff0000For the exchange of 5 Letters, you will be rewarded with 1 of the 4 bonus items randomly. Only one can be active at a time, so be careful!#nc","Muitas pessoas vieram até mim e disseram que perderam suas cartas de amor... Você poderia encontrá-las e trazê-las de volta para mim? Em troca, eu lhe darei ótimas recompensas.\n\n#cffff0000Em troca de 5 cartas, você receberá aleatoriamente um dos 4 itens de bônus. Apenas um pode ser usado de cada vez, então tome cuidado!#nc"
EXCHANGE_PKCHIPS,"So you like to kill players and steal their chips... No problem, the origin of these items does not interest me. Look what I have to offer you.","Então você gosta de eliminar e roubar chips... Sem problemas, a origem desses itens não me interessa. Olhe o que tenho para lhe oferecer."
EXCHANGE_EASTER_EVENT,"I need your help! Some mischievous creatures have taken all of his eggs and hidden them in a special dungeon. Retrieve them all, and you'll be rewarded with some egg-ceptional loot!","Preciso da sua ajuda! Algumas criaturas bagunceiras pegaram todos os ovos e os esconderam em uma masmorra especial. Recupere todos, e você será recompensado com recompensas eggcepcionais!"
EXCHANGE_DIAMONDINTHESKY_EVENT,Want to add some sparkle to your day? Destroy stars at night and collect Star Fragments! Then come see me for some glittering rewards that are sure to brighten your mood.,"Deseja adicionar um pouco de brilho ao seu dia? Destrua estrelas durante a noite e obtenha Fragmentos de Estrela! Em seguida, venha me encontrar para receber recompensas que certamente iluminarão seu dia."
EXCHANGE_ANNIVERSARY_EVENT,It's your special day! Let's make it even sweeter by indulging in some delectable desserts. Come see me for a slice of heaven and some tasty rewards!,Hoje é um dia especial para você! Vamos torná-lo memorável com algumas sobremesas irresistíveis. Venha me encontrar para desfrutar de um pedaço do paraíso e receber recompensas deliciosas!
EXCHANGE_RESCUE_EVENT,Have you heard about the people gone missing from the dungeons recently?\nHelp the people from danger and collect the Rescue Certificate!\nI've prepared various rewards for your acts of valor!,Você está por dentro do desaparecimento recente de pessoas nas masmorras?\nAjude essas pessoas a saírem de perigo e obtenha um Certificado de Resgate!\nPreparei diversas recompensas para reconhecer sua coragem!
EXCHANGE_FWCGEAR_EVENT,I will change your +10 High-Level Ultimate weapons and Very Rare equipment to special +10 FWC Golden equipment. Complete several trades to get even more rewards! Note that you can only exchange items matching your class and gender.,I will change your +10 High-Level Ultimate weapons and Very Rare equipment to special +10 FWC Golden equipment. Complete several trades to get even more rewards! Note that you can only exchange items matching your class and gender.
EXCHANGE_MUSICFESTIVAL_EVENT,Let's turn up the volume on your special day! Join me for a melodic celebration filled with harmonious surprises and musical delights.,Vamos fazer seu dia especial ainda mais animado! Participe comigo de uma celebração musical repleta de surpresas harmoniosas e prazeres musicais.
EXCHANGE_SUMMER_EVENT_2023,"The summer is hot!! I need something to cool this heat!\nI hear that you can hear the waves if you put a sea shell by your ears, is this true?","O verão está tão quente! Preciso de algo para me refrescar!\nDizem que se você colocar uma concha no ouvido, pode ouvir o som das ondas, isso é verdade?"
EXCHANGE_OKTOBERFEST_EVENT_2023,"The beer festival is at the peak, so everyone's is busy. We're running low on beer, can you help me out?\nIf you can get me some beer, I'll exchange it for various rewards.","A festa da cerveja está a todo vapor e estamos com baixo estoque de cerveja. Você pode me ajudar?\nSe você conseguir me trazer um pouco de cerveja, trocarei por várias recompensas."
EXCHANGE_FINDGOLDENAIBATT_EVENT_2310,Have you heard the news? Golden Monsters have appeared!\nPeople say that you can get gold shard by hunting down the golden monster… Can you get some for me?,Você ouviu as novidades? Monstros dourados apareceram!\nDizem que é possível obter fragmentos de ouro ao derrotar esses monstros dourados… Poderia conseguir alguns para mim?
EXCHANGE_TIME_TO_HUNT_2023,"It's been a bumper year, so there are a lot of monsters out to get crops.\nIt's time to hunt them down! Can you help?","Foi um ano excepcional, e agora muitos monstros estão tentando levar nossas colheitas._x000D_\nEstá na hora de combatê-los! Você está disposto a ajudar?"
EXCHANGE_JEWELRY,Exchange your jewelry here. Note the upgrade level of the output items!,Faça a troca de suas joias aqui. Preste atenção no nível de melhoria dos itens resultantes!
EXCHANGE_CHRISTMAS_2023,Theif Santas have stolen all the presents I was going to give out this Christmas.\nCan you help me get them back?,Os Noeis Ladrões levaram todos os presentes que eu planejava dar neste Natal.\nVocê poderia me ajudar a recuperá-los?
EXCHANGE_ATTACK_OF_THE_SNOWCLONES,Yettis have taken away all the toy hammers from the orphanage. Could you bring the hammers back from the Yettis?,Os Yetis pegaram todos os martelos de brinquedo do orfanato. Você pode ajudar a recuperá-los dos Yetis?
EXCHANGE_KALGASCHIPS,"The items I sell here in my shop are absolutely the best you can find! So, how many Kalgas Chips do you have, hmmm?","The items I sell here in my shop are absolutely the best you can find! So, how many Kalgas Chips do you have, hmmm?"
EXCHANGE_MARCH_2023,Green monsters have appeared all over the Madrigal continent. Defeat them and bring me the tokens!,Green monsters have appeared all over the Madrigal continent. Defeat them and bring me the tokens!
EXCHANGE_ATTACK_OF_THE_HUNGRY_MONSTERS,"Hungry monsters are attacking travelers, descending on villages and stealing food from homes. Would you like to join the fight against the monsters?","Hungry monsters are attacking travelers, descending on villages and stealing food from homes. Would you like to join the fight against the monsters?"
EXCHANGE_2ND_ANNIVERSARY_EVENT,"Have you donated enough tokens to your guild? If so, we'll exhange them for boxes!","Have you donated enough tokens to your guild? If so, we'll exhange them for boxes!"
EXCHANGE_2024_VACANCE_EVENT,What vacation items do you need? Bring us your beautifully polished seashells and we'll exchange them with rewards!,What vacation items do you need? Bring us your beautifully polished seashells and we'll exchange them with rewards!
EXCHANGE_PIRATE_SHIP_EVENT,"The pirates stole my treasure map.\nIf you can bring back my treasure map, I'll give you a good case","The pirates stole my treasure map.\nIf you can bring back my treasure map, I'll give you a good case"
EXCHANGE_YELLOWCHIPS,"The items I sell here in my shop will certainly be helpful! So, how many Yellow Chips do you have, hmmm?","The items I sell here in my shop will certainly be helpful! So, how many Yellow Chips do you have, hmmm?"
EXCHANGE_FISHINGCHAMPION_EVENT,"Have you ever... Have you ever been fishing? Once you fall in love with fishing, you'll never get out!","Have you ever... Have you ever been fishing? Once you fall in love with fishing, you'll never get out!"
EXCHANGE_3RD_ANNIV_EGG_UPGRADE_EVENT,Exchange items for the Egg Upgrade Event,Exchange items for the Egg Upgrade Event
EXCHANGE_FWC_COIN_2025,"Hey there! This is where you can exchange your Champion Coins for items you want.\nEach item has a limited number of exchanges, and your coins are limited too.\nSo think carefully and make sure to grab what you really need!\n\n※ Champion Coin disappears once the period is end.\n※ Unused Champion Coin will be replaced to Penya\n ┗ 1 Champion Coin = 10 Penya","Hey there! This is where you can exchange your Champion Coins for items you want.\nEach item has a limited number of exchanges, and your coins are limited too.\nSo think carefully and make sure to grab what you really need!\n\n※ Champion Coin disappears once the period is end.\n※ Unused Champion Coin will be replaced to Penya\n ┗ 1 Champion Coin = 10 Penya"
EXCHANGE_PTS,Grab useful items for your testing purposes here!,Grab useful items for your testing purposes here!
EXCHANGE_ALCHEMY,Alchemy,Alchemy
EXCHANGE_CARPENTRY,Carpentry,Carpentry
EXCHANGE_COOKING,Cooking,Cooking
EXCHANGE_SMITHING,Smithing,Smithing
EXCHANGE_KEBARAS2COST,Kebaras 2 Costumes can be exchanged for Kebaras 2 Costume Fragments here!,Kebaras 2 Costumes can be exchanged for Kebaras 2 Costume Fragments here!
