Key,English,Vietnamese
MMI_0,Dialog,Hộp thoại
MMI_1,Quest,Nhiệm vụ
MMI_2,Trade,Giao dịch
MMI_3,Attack,Tấn công
MMI_4,Message,Tin nhắn
MMI_5,Add to my list,Thêm vào danh sách
MMI_6,Invite to join party,Mời tham gia nhóm
MMI_7,Invite to join guild,Mời tham gia bang hội
MMI_8,Place of Resurrection,Nơi hồi sinh
MMI_9,Bank,Ngân hàng
MMI_10,Duel,Đấu tay đôi
MMI_11,Request party duel,Yêu cầu đấu nhóm
MMI_12,Follow,Theo sau
MMI_13,Beauty Shop,Cửa hàng làm đẹp
MMI_14,Repair,Sửa chữa
MMI_15,Guild Bank,Kho lưu trữ Bang hội
MMI_16,Guild Rankings,Xếp hạng Bang hội
MMI_17,Guild Duel Rankings,Xếp hạng chiến tranh Bang hội
MMI_18,Guild Statistics Rankings,Xếp hạng tổng thể chiến tranh bang hội
MMI_21,Register Bounty,Đặt tiền thưởng
MMI_22,Bounty List,Xem danh sách tiền thưởng
MMI_24,View equipment,Xem trang bị
MMI_25,Mailbox,Hộp thư
MMI_26,Apply,Áp dụng
MMI_27,Status,Trạng thái
MMI_28,Cancel,Hủy
MMI_29,Enter,Tham gia
MMI_30,Ranking,xếp hạng
MMI_31,Cheer,Cổ vũ
MMI_32,Remove piercing card,Loại bỏ thẻ xuyên qua
MMI_33,Lineup Setup,Lối vào
MMI_34,Claim Guild Penya,Nhận tiền thưởng và tiền ứng tuyển
MMI_35,Reward Information,Thông tin tiền thưởng
MMI_36,Claim MVP Penya Reward,Nhận tiền thưởng cho MVP
MMI_37,Participation Information,Thông tin tham gia
MMI_38,Basic Rules,Quy tắc cơ bản
MMI_39,Winning Conditions,Điều kiện để chiến thắng
MMI_40,Application Fee Information,Thông tin về hoa hồng
MMI_41,The refund of application fee,Hoàn lại phí đăng ký
MMI_42,Cosmetic Upgrades,Nâng cấp thẩm mỹ
MMI_44,Rock-Paper-Scissors,Oẳn tù tì
MMI_49,Pet State,Trạng thái thú cưng
MMI_50,Un-summon pet,Hủy triệu hồi thú cưng
MMI_51,Create Shining Power Dice,Tạo xúc xắc điện tỏa sáng
MMI_53,Create Jewels,Tạo ra trang sức
MMI_54,Create Unique Weapon,Tạo ra vũ khí độc đáo
MMI_59,Remove Element,Gỡ bỏ Element
MMI_71,Remove Level Reduction,Xóa giảm cấp độ
MMI_74,Get Buffed!,Nhận được Buff!
MMI_75,Exchange Rare Item Pieces,Trao đổi những mảnh vật phẩm hiếm
MMI_76,Exchange Card Pieces,Trao đổi những mảnh Thẻ
MMI_79,Remove Premium Item Blessing,Loại bỏ phước lành cho vật phẩm cao cấp
MMI_80,Enter Arena,Tiến vào đấu trường
MMI_81,Leave Arena,Rời đấu trường
MMI_82,Arena Ranking,Xếp hạng đấu trường
MMI_83,Arena Reward,Phần thưởng đấu trường
MMI_91,Lord Ranking,Lord Ranking
MMI_134,Upgrading,Đang nâng cấp 
MMI_136,Piercing,Piercing
MMI_167,Element Upgrading,Đang nâng cấp Element
MMI_142,Store Pet,Cửa hàng thú cưng
MMI_272,Exchange RPS Coupon,Trao đổi phiếu giảm giá RPS 
MMI_309,Card Upgrade,Nâng cấp Thẻ
MMI_310,Weapon Socket Card Reshuffle,Xáo Trộn Thẻ Weapon Socket Card
MMI_311,Couple proposal,Couple proposal
MMI_1000,Drop Filter,Bộ lọc vật phẩm rơi ra
MMI_1001,Report,Báo cáo
MMI_1002,Inspect,Điều tra
MMI_1003,Unbinding,Không ràng buộc
MMI_1004,Exchange,Trao đổi
MMI_1005,Combat Power Ranking,Xếp hạng sức mạnh chiến đấu
MMI_1006,Giant Hunt Ranking ,Xếp hạng cuộc săn khổng lồ
MMI_1007,Accessory Upgrade,Nâng cấp phụ kiện
MMI_1008,Mute,Tắt tiếng
MMI_1009,Unmute,Bỏ tắt tiếng
MMI_1010,Freeze,Đóng băng
MMI_1011,Unfreeze,Làm cho tan ra
MMI_1012,Shadow Mute,Shadow Mute
MMI_1013,Pet Candy Crafting,Chế tạo kẹo thú cưng
MMI_1014,Exchange Dice,Trao đổi xúc xắc
MMI_1015,Pet Sacrificing,Hy sinh thú cưng
MMI_1016,Red Chip Shop,Red Chip Shop
MMI_1017,Cosmetic Wardrobe,Cosmetic Wardrobe
MMI_1018,Lv80 GS Apply,Lv80 GS Apply
MMI_1019,Lv80 GS Status,Lv80 GS Status
MMI_1020,Lv80 GS Cancel,Lv80 GS Cancel
MMI_1021,Lv80 GS Enter,Lv80 GS Enter
MMI_1022,Lv80 GS Lineup Setup,Lv80 GS Lineup Setup
MMI_1023,Lv80 GS Ranking,Lv80 GS Ranking
MMI_1024,Lv80 GS Information,Lv80 GS Information
MMI_1025,Lv60 GS Apply,Lv60 GS Apply
MMI_1026,Lv60 GS Status,Lv60 GS Status
MMI_1027,Lv60 GS Cancel,Lv60 GS Cancel
MMI_1028,Lv60 GS Enter,Lv60 GS Enter
MMI_1029,Lv60 GS Lineup Setup,Lv60 GS Lineup Setup
MMI_1030,Lv60 GS Ranking,Lv60 GS Ranking
MMI_1031,Lv60 GS Information,Lv60 GS Information
MMI_1032,Blue Chip Shop,Blue Chip Shop
MMI_1033,Valentine's Letter Exchange,Valentine's Letter Exchange
MMI_1034,Dungeon,Ngục tối
MMI_1035,PK Chip Shop,PK Chip Shop
MMI_1036,Exchange,Trao đổi
MMI_1037,Green Chip Shop,Green Chip Shop
MMI_1038,FWC Gear Exchange,Trao Đổi FWC Gear
MMI_1039,FWC Jewel Exchange,Trao Đổi FWC Jewel
MMI_1040,Use Capsule Coins,Sử dụng Capsule Coins
MMI_1041,Music Festival Exchange,Trao Đổi Tại Music Festival
MMI_1042,Fitting Room,Phòng Thử Đồ
MMI_1043,FWC PVP Registrations Board,FWC PVP Registrations Board
MMI_1047,Join FWC PVP Arena,Tham gia FWC PVP Arena
MMI_1046,FWC PVP Ranking,FWC PVP Ranking
MMI_1048,Spectate FWC PVP Contest,Quan sát FWC PVP Contest
MMI_1049,Rock Paper Scissors,Rock Paper Scissors
MMI_1050,W-Token Shop,Cửa hàng W-Token
MMI_1051,Costume Box Upgrade,Nâng Cấp Costume Box
MMI_1054,Exchange Rings,Trao Đổi Nhẫn
MMI_1055,Dismantle Item,Tháo rời Vật Phẩm
MMI_1056,Purchase Guild Ship,Mua Guild House đó
MMI_1057,Enter Guild Ship,Vào Nhà Guild
MMI_1058,Enter Your House,Vào Nhà Của Bạn
MMI_1059,Select House Template,Chọn mẫu nhà 
MMI_1060,Visit Friend's House,Thăm nhà của bạn 
MMI_1061,Edit,chỉnh sửa 
MMI_1062,Remove,Bỏ
MMI_1063,Exchange Earrings,Trao đổi Earrings
MMI_1064,Exchange Necklaces,Trao Đổi Necklaces
MMI_1065,Rainbow Race,Rainbow Race
MMI_1066,Create Ultimate Weapon,Tạo Ultimate Weapon
MMI_1069,Open Guest Book,Mở Guest Book
MMI_1070,Orphanage Keeper Shop,Orphanage Keeper Shop
MMI_1071,Kalgas Assault Registration,Kalgas Assault Registration
MMI_1072,Kalgas Assault Enter,Kalgas Assault Enter
MMI_1073,Kalgas Assault Rank,Kalgas Assault Rank
MMI_1074,Kalgas Assault Info,Kalgas Assault Info
MMI_1075,Kalgas Chip Shop,Kalgas Chip Shop
MMI_1076,Couple's Storage,Couple's Storage
MMI_1077,Create Ultimate Jewel,Create Ultimate Jewel
MMI_1078,Fuse Ultimate Jewel,Fuse Ultimate Jewel
MMI_1079,Teleport,Teleport
MMI_1080,Sea Shell Upgrading,Sea Shell Upgrading
MMI_1081,Fuse Rainbow Jewel,Fuse Rainbow Jewel
MMI_1082,Dismantle Rainbow Jewel,Dismantle Rainbow Jewel
MMI_1083,Pet Training,Pet Training
MMI_1084,Teleport,Teleport
MMI_1085,Individual Race (Item),Individual Race (Item)
MMI_1086,Individual Race (Speed),Individual Race (Speed)
MMI_1087,Duo Team Race (Item),Duo Team Race (Item)
MMI_1088,Duo Team Race (Speed),Duo Team Race (Speed)
MMI_1089,Sit,Sit
MMI_1090,Sleep,Sleep
MMI_1091,Yellow Chip Shop,Yellow Chip Shop
MMI_1092,Madrigal Tournament Registration,Madrigal Tournament Registration
MMI_1093,Enter Madrigal Tournament,Enter Madrigal Tournament
MMI_1094,Madrigal Tournament Ranking,Madrigal Tournament Ranking
MMI_1095,Madrigal Tournament Reward,Madrigal Tournament Reward
MMI_1096,Madrigal Tournament Bidding,Madrigal Tournament Bidding
MMI_1097,Remove Ultimate Jewel,Remove Ultimate Jewel
MMI_1098,Customize,Customize
MMI_1099,Enter Couple House,Enter Couple House
MMI_1100,Select Couple House Template,Select Couple House Template
MMI_1101,Wandering Shop,Wandering Shop
MMI_1102,Master Chip Shop - Alchemy,Master Chip Shop - Alchemy
MMI_1103,Product Upgrade,Product Upgrade
MMI_1104,Life Mastery Ranking,Life Mastery Ranking
MMI_1105,Life Mastery Ranking Reward,Life Mastery Ranking Reward
MMI_1106,Alchemy,Alchemy
MMI_1107,Cooking,Cooking
MMI_1108,Carpentry,Carpentry
MMI_1109,Smithing,Smithing
MMI_1110,Enter Race,Enter Race
MMI_1111,Master Chip Shop - Cooking,Master Chip Shop - Cooking
MMI_1112,Master Chip Shop - Carpentry,Master Chip Shop - Carpentry
MMI_1113,Master Chip Shop - Smithing,Master Chip Shop - Smithing
MMI_1115,Join Boss Raid,Join Boss Raid
MMI_1120,3rd Anniversary Egg Upgrade Event,3rd Anniversary Egg Upgrade Event
MMI_1121,Champion Coin Exchange,Champion Coin Exchange
MMI_1116,Synthesize Ultimate Jewel,Synthesize Ultimate Jewel
MMI_1117,Convert Ultimate Jewel,Convert Ultimate Jewel
MMI_2025,PTS Exchange (Equipment),PTS Exchange (Equipment)
MMI_2026,Give Feedback,Give Feedback
MMI_2027,PTS Exchange (Materials),PTS Exchange (Materials)
MMI_2028,PTS Exchange (Essentials),PTS Exchange (Essentials)
MMI_2029,PTS Exchange (Jewelry),PTS Exchange (Jewelry)
MMI_2030,PTS Exchange (Other Equipment),PTS Exchange (Other Equipment)
MMI_2031,Reset Cooldowns,Reset Cooldowns
MMI_2032,PTS Exchange (New Equipment),PTS Exchange (New Equipment)
MMI_2033,Item Exchange,Item Exchange
MMI_1122,Lv165 GS Apply,Lv165 GS Apply
MMI_1123,Lv165 GS Status,Lv165 GS Status
MMI_1124,Lv165 GS Cancel,Lv165 GS Cancel
MMI_1125,Lv165 GS Join,Lv165 GS Join
MMI_1126,Lv165 GS Line Up,Lv165 GS Line Up
MMI_1127,Lv165 GS Ranking,Lv165 GS Ranking
MMI_1128,Lv165 GS Information,Lv165 GS Information
MMI_1129,Yellow Chip Shop 2,Yellow Chip Shop 2
MMI_1130,Red Chip Shop 2,Red Chip Shop 2
MMI_1131,Kalgas Chip Shop 2,Kalgas Chip Shop 2
MMI_1132,Mysterious Castle Enter,Mysterious Castle Enter
MMI_1133,Mysterious Castle Reward,Mysterious Castle Reward
MMI_1134,Kebaras 2 Costumes,Kebaras 2 Costumes
